name,borough_name,latitude,longitude,url,manual_frequency,keywords,frequency,keyword_frequency
Hale End Library,Waltham Forest,51.60870578,0.002769562,https://www.walthamforest.gov.uk/content/hale-end-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",6
Hainault Library,Redbridge,51.60753869,0.105766669,,,,,
Friern Barnet Community Library ,Barnet,51.61303719,-0.151842928,http://www.friernbarnetlibrary.org/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Fore Street,Enfield,51.61166506,-0.063707118,,,,,
Mill Hill ,Barnet,51.61488958,-0.241490103,https://www.barnet.gov.uk/libraries/find-your-local-library/mill-hill-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Harold Hill Library,Havering,51.60723241,0.220053539,,,,,
Edgware ,Barnet,51.61577734,-0.272427097,https://www.barnet.gov.uk/libraries/find-your-local-library/edgware-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Angel Raynham,Enfield,51.61259183,-0.059377369,,,,,
Bowes Road,Enfield,51.61492809,-0.129038125,,,,,
Stanmore,Harrow,51.61793485,-0.310063717,,,,,
Palmers Green,Enfield,51.61508369,-0.109010668,,,,,
Millfield House,Enfield,51.61589454,-0.079736045,,,,,
North Finchley ,Barnet,51.61807536,-0.174310929,https://www.barnet.gov.uk/libraries/find-your-local-library/north-finchley-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
South Chingford Community Library,Waltham Forest,51.61609652,-0.016176907,https://www.southchingfordlibrary.org.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[23, 22, 0, 0, 1, 1, 4, 1, 14, 0, 0, 4, 4, 3, 0, 0]",77
Edmonton Green,Enfield,51.62339871,-0.056459901,,,,,
Winchmore Hill,Enfield,51.62790941,-0.096829091,,,,,
Osidge,Barnet,51.62982049,-0.147457177,https://www.barnet.gov.uk/libraries/find-your-local-library/osidge-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Southgate Circus,Enfield,51.62989232,-0.126731632,,,,,
North Chingford Library,Waltham Forest,51.63115177,0.0044664,https://www.walthamforest.gov.uk/libraries/local-libraries/chingford-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4
Ridge Avenue,Enfield,51.63568138,-0.080359974,,,,,
East Barnet ,Barnet,51.64389091,-0.159901578,https://www.barnet.gov.uk/libraries/find-your-local-library/new-barnet-leisure-centre-and-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
John Jackson,Enfield,51.64493374,-0.064906253,,,,,
Ponders End,Enfield,51.64472766,-0.045949157,,,,,
Oakwood,Enfield,51.64834202,-0.127561284,,,,,
Enfield Town,Enfield,51.65119271,-0.084620218,,,,,
Chipping Barnet ,Barnet,51.65565921,-0.203165618,https://www.barnet.gov.uk/libraries/find-your-local-library/chipping-barnet-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Enfield Highway,Enfield,51.65843232,-0.045865671,,,,,
Enfield Island Village,Enfield,51.66794853,-0.014837634,,,,,
Ordnance Unity Centre,Enfield,51.67157982,-0.037720477,,,,,
Bullsmoor,Enfield,51.67592229,-0.047890153,,,,,
West Norwood Library and Picturehouse,Lambeth,51.43228329,-0.102510989,,,,,
Slade Centre Library ,Greenwich,51.4788,0.08513,,,,,
Highgate Library ,Haringey,51.57714,-0.14374,,,,,
Cat and Mouse Library,Islington,51.55279,-0.12496,,,,,
Shepherds Bush Library ,Hammersmith and Fulham,51.5059,-0.22427,,,,,
Greenhill,Harrow,51.57948,-0.33585,,,,,
Uphall School Library,Redbridge,51.54746664,0.073761534,,,,,
,,51.5525949,0.05535975,https://bowarts.org/location/old-manor-park-library/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2
,,51.4993859,-0.12250325,https://commonslibrary.parliament.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.6088859,-0.13423625,http://evangelical-library.org.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.4979859,-0.10390325,http://feministlibrary.co.uk,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
,,51.5591819,0.00701575,https://harrowgreenlibrary.com/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.49781923,-0.176736583,https://imperial.ac.uk/library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
