MSOA11CD,MSOA11NM,geometry
E02000858,Sutton 019,POINT (530313.324525459 163571.57112542898)
E02000859,Sutton 020,POINT (528451.1057615589 163237.02334889144)
E02000860,Sutton 021,POINT (526177.5554250292 163184.95230399616)
E02000861,Sutton 022,POINT (526856.8668058501 162706.24070204314)
E02000863,Sutton 024,POINT (528593.3522570855 161585.86824233222)
E02000864,Tower Hamlets 001,POINT (536801.3691283823 184035.65794993416)
E02000865,Tower Hamlets 002,POINT (535070.3091736053 183239.3448840471)
E02000866,Tower Hamlets 003,POINT (536118.7073973097 183271.17821900052)
E02000867,Tower Hamlets 004,POINT (537217.3419128872 183274.19031498116)
E02000868,Tower Hamlets 005,POINT (534533.256115174 183043.1111205361)
E02000869,Tower Hamlets 006,POINT (533883.0384055302 182816.5503783179)
E02000870,Tower Hamlets 007,POINT (535460.6460572325 182771.4147700005)
E02000871,Tower Hamlets 008,POINT (537883.2057873223 182558.7954949953)
E02000872,Tower Hamlets 009,POINT (534036.2502729038 182398.31183467142)
E02000873,Tower Hamlets 010,POINT (535925.6869288771 182504.760816577)
E02000874,Tower Hamlets 011,POINT (535175.4168917645 182440.71712660804)
E02000875,Tower Hamlets 012,POINT (537319.1615035816 182238.23479430607)
E02000876,Tower Hamlets 013,POINT (534759.8359949643 182194.3460943375)
E02000877,Tower Hamlets 014,POINT (536763.9798018347 181980.90998164)
E02000878,Tower Hamlets 015,POINT (533894.8960216637 181772.8528175292)
E02000879,Tower Hamlets 016,POINT (535525.6949086268 181628.33687506543)
E02000880,Tower Hamlets 017,POINT (534986.0997603033 181619.15610189806)
E02000881,Tower Hamlets 018,POINT (538280.9689794462 181601.94930141795)
E02000882,Tower Hamlets 019,POINT (536109.3677199642 181579.65604711097)
E02000883,Tower Hamlets 020,POINT (537948.5148642357 181268.78447357658)
E02000884,Tower Hamlets 021,POINT (534262.6283366948 181246.61912190847)
E02000885,Tower Hamlets 022,POINT (535176.9576609015 181091.04958945027)
E02000886,Tower Hamlets 023,POINT (536692.9390347017 181036.26366199972)
E02000887,Tower Hamlets 024,POINT (537422.521011038 181016.599145254)
E02000888,Tower Hamlets 025,POINT (535547.7514680821 180886.92126254752)
E02000889,Tower Hamlets 026,POINT (534473.9535200701 180589.01913511814)
E02000890,Tower Hamlets 027,POINT (534355.4868517035 180403.07862725243)
E02000891,Tower Hamlets 028,POINT (538391.8951418613 180308.5142416655)
E02000893,Tower Hamlets 030,POINT (538311.2186207642 178812.76500642108)
E02000894,Tower Hamlets 031,POINT (537583.0485503941 178666.89970550814)
E02000895,Waltham Forest 001,POINT (537872.7121929942 194780.49998553557)
E02000896,Waltham Forest 002,POINT (539198.8351308318 194617.08949548658)
E02000897,Waltham Forest 003,POINT (539312.9781474547 193052.65466764182)
E02000898,Waltham Forest 004,POINT (538163.2229592408 192947.04350257074)
E02000899,Waltham Forest 005,POINT (537340.4493815199 192932.02075942702)
E02000900,Waltham Forest 006,POINT (536826.6165959255 192133.02285156713)
E02000901,Waltham Forest 007,POINT (538948.9868937029 191749.67219345891)
E02000902,Waltham Forest 008,POINT (537870.1414400879 191326.33326891414)
E02000903,Waltham Forest 009,POINT (536336.0964520181 190955.81484721001)
E02000904,Waltham Forest 010,POINT (538780.3845018685 190593.35060704188)
E02000905,Waltham Forest 011,POINT (537364.5240951735 190196.84588551)
E02000906,Waltham Forest 012,POINT (536715.4640557173 189820.1790904399)
E02000907,Waltham Forest 013,POINT (538315.0931654751 189619.37235585647)
E02000908,Waltham Forest 014,POINT (535582.6045077804 189603.64794294862)
E02000909,Waltham Forest 015,POINT (538766.1360396089 189298.64199230357)
E02000910,Waltham Forest 016,POINT (537425.5854618471 188906.32551210097)
E02000911,Waltham Forest 017,POINT (536625.1406775074 188860.20546061022)
E02000912,Waltham Forest 018,POINT (535684.763118515 188174.57718845547)
E02000913,Waltham Forest 019,POINT (538611.4933147926 188187.94897910467)
E02000914,Waltham Forest 020,POINT (537760.9020748996 188009.47418109415)
E02000915,Waltham Forest 021,POINT (539279.8339928065 188160.452445617)
E02000916,Waltham Forest 022,POINT (536276.0934420036 187235.5150127579)
E02000917,Waltham Forest 023,POINT (538090.9341918393 187167.45900900743)
E02000918,Waltham Forest 024,POINT (539536.6028254469 187151.98965643172)
E02000919,Waltham Forest 025,POINT (538476.829900913 186696.986706485)
E02000920,Waltham Forest 026,POINT (537640.7201425906 186316.5728090104)
E02000921,Waltham Forest 027,POINT (538885.5029868225 186164.50329520626)
E02000922,Waltham Forest 028,POINT (539591.7494524097 186023.28466663454)
E02000923,Wandsworth 001,POINT (527792.8940929904 177063.12683627792)
E02000924,Wandsworth 002,POINT (529080.4381905 177047.49634202276)
E02000925,Wandsworth 003,POINT (527710.7577491293 176525.03961604266)
E02000926,Wandsworth 004,POINT (526833.8233660404 176245.82403614352)
E02000927,Wandsworth 005,POINT (528319.3009441252 175940.34719415245)
E02000928,Wandsworth 006,POINT (523375.75654027524 175759.3360936632)
E02000929,Wandsworth 007,POINT (526737.0958012928 175665.25569076516)
E02000930,Wandsworth 008,POINT (527533.0983670878 175731.54827026624)
E02000931,Wandsworth 009,POINT (528164.5358559311 175099.53253751993)
E02000932,Wandsworth 010,POINT (524944.9504673219 175115.76776589546)
E02000933,Wandsworth 011,POINT (523029.6128785256 175044.23273618968)
E02000934,Wandsworth 012,POINT (526609.3605763674 175101.65061017417)
E02000935,Wandsworth 013,POINT (521670.0030082201 174688.27935717328)
E02000936,Wandsworth 014,POINT (524049.37912464363 174493.5265286135)
E02000937,Wandsworth 015,POINT (527350.2540943434 174220.35698917846)
E02000938,Wandsworth 016,POINT (522902.89367689897 174116.75623414887)
E02000939,Wandsworth 017,POINT (528144.7414376594 174252.5898530076)
E02000940,Wandsworth 018,POINT (525609.6353197286 174183.3691044701)
E02000941,Wandsworth 019,POINT (526378.4636543916 174162.40955639663)
E02000942,Wandsworth 020,POINT (524781.2665849142 173898.6258793968)
E02000943,Wandsworth 021,POINT (528435.8329519028 173769.79170203497)
E02000944,Wandsworth 022,POINT (524094.78398392093 173680.89366249583)
E02000945,Wandsworth 023,POINT (522542.1466429061 172939.34203908473)
E02000946,Wandsworth 024,POINT (526455.2044905635 173291.8037765327)
E02000947,Wandsworth 025,POINT (525315.6781392822 173289.2177752752)
E02000948,Wandsworth 026,POINT (529060.498331416 172610.93032652792)
E02000949,Wandsworth 027,POINT (527457.2284316467 172936.63263667983)
E02000950,Wandsworth 028,POINT (524165.4619304126 172882.85545908698)
E02000951,Wandsworth 029,POINT (528085.8844518488 172617.66815147066)
E02000952,Wandsworth 030,POINT (528533.8137756458 172414.38470084162)
E02000953,Wandsworth 031,POINT (526318.8484876706 172314.96307553418)
E02000954,Wandsworth 032,POINT (527871.8984375455 171979.28259715094)
E02000955,Wandsworth 033,POINT (527530.1113245987 171796.15908359372)
E02000956,Wandsworth 034,POINT (526821.9489332015 171480.026650108)
E02000957,Wandsworth 035,POINT (527726.808692582 171092.79499864805)
E02000958,Wandsworth 036,POINT (528788.919570517 171218.93143878225)
E02000959,Wandsworth 037,POINT (529259.0496214123 170993.27915603408)
E02000960,Westminster 001,POINT (527372.3423905442 183386.52771196343)
E02000961,Westminster 002,POINT (526065.0285110943 183245.57411919037)
E02000962,Westminster 003,POINT (526798.837606449 182761.62786119498)
E02000963,Westminster 004,POINT (524307.7234424038 182648.27353848948)
E02000964,Westminster 005,POINT (524873.3044646329 182525.2796408515)
E02000965,Westminster 006,POINT (525551.1606465711 182464.2786817879)
E02000966,Westminster 007,POINT (526150.113295019 182251.96997364316)
E02000967,Westminster 008,POINT (527883.15664819 182546.45577969032)
E02000968,Westminster 009,POINT (526963.9443630673 182062.90093801377)
E02000969,Westminster 010,POINT (525455.9716126171 181816.79067809682)
E02000970,Westminster 011,POINT (528366.1430494605 181393.6587233954)
E02000971,Westminster 012,POINT (527625.5323445078 181524.7499162442)
E02000972,Westminster 013,POINT (529180.603119773 181227.8108567025)
E02000973,Westminster 014,POINT (525452.9662877843 181365.85650212856)
E02000974,Westminster 015,POINT (527027.2103681616 181253.57037058825)
E02000975,Westminster 016,POINT (526394.6062223556 181127.66886311476)
E02000976,Westminster 017,POINT (525856.2249157708 180960.18368666747)
E02000977,Westminster 018,POINT (529630.6686508097 180417.98415843237)
E02000978,Westminster 019,POINT (527332.9310227726 179978.29691296947)
E02000979,Westminster 020,POINT (529590.9865132729 179421.28778654354)
E02000980,Westminster 021,POINT (529852.578838493 178671.75296472953)
E02000981,Westminster 022,POINT (529122.7910025271 178488.18984615456)
E02000982,Westminster 023,POINT (528658.3566319298 178493.24349505288)
E02000983,Westminster 024,POINT (529507.3283086651 178129.81110253424)
E02006782,Bromley 040,POINT (540860.6997439475 170949.70569796735)
E02006783,Lewisham 037,POINT (539891.0399436854 171785.4664202316)
E02006784,Lewisham 038,POINT (538860.5362458822 171123.5190136297)
E02006785,Bexley 029,POINT (545903.9312789843 176630.77409606677)
E02006786,Greenwich 033,POINT (546040.7622775913 177716.69021282674)
E02006787,Bromley 041,POINT (536417.4854759704 168510.60088596598)
E02006788,Croydon 045,POINT (535195.7935298731 167886.80164374455)
E02006789,Bromley 042,POINT (542781.1402733602 160023.52237060142)
E02006791,Ealing 040,POINT (520491.52719954785 179151.17601671314)
E02006792,Hounslow 029,POINT (520000.05363642634 178611.1305373759)
E02006793,Enfield 037,POINT (533309.1386863249 192110.69348712737)
E02006794,Haringey 037,POINT (533814.5576010909 191241.71057578543)
E02006795,Harrow 032,POINT (512621.2806296702 187029.9161826964)
E02006796,Hillingdon 033,POINT (511141.93137227115 185045.8178571419)
E02006798,Lewisham 039,POINT (536776.6813882571 177336.51737764388)
E02006799,Barking and Dagenham 023,POINT (547548.1174190674 186808.71231581445)
E02006800,Redbridge 034,POINT (546403.5125089957 186861.53892527384)
E02006801,Lambeth 036,POINT (531004.4376007188 179734.08770583014)
E02006802,Southwark 034,POINT (531662.366506686 179381.97334412127)
E02006836,Sutton 025,POINT (524693.352643571 161932.7155920505)
E02006853,Tower Hamlets 032,POINT (537408.9695667432 179371.44835182032)
E02006854,Tower Hamlets 033,POINT (537419.6140251214 180220.29667825796)
E02006882,Harrow 033,POINT (516913.7055693936 189319.09649527157)
E02006918,Hackney 028,POINT (535154.1162608812 186787.7890176462)
E02006921,Hackney 029,POINT (534581.8918459761 187044.31189257625)
E02006924,Redbridge 035,POINT (542803.3092189278 187767.63752673942)
E02006925,Redbridge 036,POINT (542273.7814285994 189351.0934170394)
E02006927,Greenwich 034,POINT (540690.4865733916 175178.48876636714)
E02006928,Greenwich 035,POINT (537700.1965183143 177616.26289003753)
E02006929,Greenwich 036,POINT (539747.826362629 179078.89762535595)
E02006930,Greenwich 037,POINT (539775.3952207 178277.5412388278)
E02006931,Greenwich 038,POINT (538621.2812422221 177152.20720707922)
