MSOA11CD,MSOA11NM,geometry
E02000199,Croydon 006,POINT (532878.6894216575 168850.69601526557)
E02000200,Croydon 007,POINT (533689.5531325948 168871.79733321548)
E02000201,Croydon 008,POINT (534378.8356942597 168516.55583396542)
E02000202,Croydon 009,POINT (531523.2451428523 168372.53445297974)
E02000203,Croydon 010,POINT (532432.0907993009 168141.1091321457)
E02000204,Croydon 011,POINT (530963.4508989013 167850.98098105026)
E02000206,Croydon 013,POINT (533048.6868881572 167487.5620743208)
E02000207,Croydon 014,POINT (534618.6804432275 167263.45337082446)
E02000208,Croydon 015,POINT (531847.4485485149 167193.0663605343)
E02000209,Croydon 016,POINT (530574.1175450551 167010.51812269454)
E02000210,Croydon 017,POINT (533838.2422894477 166841.8720852099)
E02000211,Croydon 018,POINT (536016.1283618604 166715.41188830178)
E02000212,Croydon 019,POINT (531119.2137206662 166259.08775642625)
E02000213,Croydon 020,POINT (532341.1802590147 166429.02505827398)
E02000214,Croydon 021,POINT (534700.0052020671 166276.3789340769)
E02000215,Croydon 022,POINT (533465.9325210998 166151.93417497262)
E02000216,Croydon 023,POINT (533911.1601773738 165134.59776924673)
E02000217,Croydon 024,POINT (531600.6097889891 165406.78101127857)
E02000218,Croydon 025,POINT (537189.1303796234 165416.6847159542)
E02000219,Croydon 026,POINT (536050.2922737688 164717.87062183834)
E02000220,Croydon 027,POINT (532633.0244820642 165008.56435857093)
E02000221,Croydon 028,POINT (531517.8435345093 163893.83851803196)
E02000222,Croydon 029,POINT (533355.4390321359 163849.1801219213)
E02000223,Croydon 030,POINT (537939.1875463938 163527.38116250077)
E02000224,Croydon 031,POINT (532457.8710552416 162826.3157965375)
E02000225,Croydon 032,POINT (538444.9144212242 162846.11418182333)
E02000226,Croydon 033,POINT (534727.7970534947 163050.35427321866)
E02000227,Croydon 034,POINT (536837.1569008039 162597.56654686478)
E02000228,Croydon 035,POINT (533510.4006443123 161892.41907856235)
E02000229,Croydon 036,POINT (538929.9249387025 161702.7022028183)
E02000230,Croydon 037,POINT (531591.730137012 161727.93976355164)
E02000231,Croydon 038,POINT (530011.7678660217 161128.02629114364)
E02000232,Croydon 039,POINT (535028.0594145891 160753.18634574985)
E02000233,Croydon 040,POINT (531908.232794559 160010.4503873412)
E02000234,Croydon 041,POINT (530621.0997798811 159645.2956493258)
E02000235,Croydon 042,POINT (532901.0266714472 159360.42424097806)
E02000236,Croydon 043,POINT (529297.5794083367 158415.20404183882)
E02000237,Croydon 044,POINT (531288.4943888655 157493.7534457433)
E02000238,Ealing 001,POINT (514638.4279311575 185127.54111740008)
E02000239,Ealing 002,POINT (516115.286631797 184605.83535610815)
E02000240,Ealing 003,POINT (512811.1171899565 184719.80308052522)
E02000241,Ealing 004,POINT (513513.62542917224 184311.7122637699)
E02000242,Ealing 005,POINT (517115.1249811477 183641.45326947587)
E02000243,Ealing 006,POINT (514849.87196508475 183450.80427179267)
E02000244,Ealing 007,POINT (516404.1428923247 183154.45308400327)
E02000245,Ealing 008,POINT (512126.561212739 183472.97927447504)
E02000246,Ealing 009,POINT (511049.55706717446 183260.90952535474)
E02000247,Ealing 010,POINT (513270.0656521693 183043.2029991867)
E02000248,Ealing 011,POINT (518590.90781486494 182584.16483063574)
E02000249,Ealing 012,POINT (514313.55285466526 182267.5049408233)
E02000250,Ealing 013,POINT (517447.3566229282 182241.33733503707)
E02000251,Ealing 014,POINT (513649.34920781606 182086.215002163)
E02000252,Ealing 015,POINT (520555.72087630694 182146.41818935247)
E02000253,Ealing 016,POINT (515509.1758557689 181806.61629978244)
E02000254,Ealing 017,POINT (512942.9001931927 181530.97467596896)
E02000255,Ealing 018,POINT (516337.16249028785 181673.87497406136)
E02000256,Ealing 019,POINT (517058.9926721117 181147.1418962697)
E02000257,Ealing 020,POINT (518376.05080945056 181199.95877331702)
E02000258,Ealing 021,POINT (519881.6222542794 181178.81763288035)
E02000259,Ealing 022,POINT (515086.6657372848 181133.56770784117)
E02000260,Ealing 023,POINT (513080.9397965989 180523.11394145188)
