MSOA11CD,Nearest_Library_ID,Distance_to_Library
E02000529,197,455.6322627
E02000530,195,1475.028423
E02000531,198,593.0075776
E02000532,199,1078.456656
E02000533,287,1018.195427
E02000534,196,742.7697604
E02000535,195,1082.33115
E02000536,197,807.877143
E02000537,196,829.7213478
E02000538,195,459.0934866
E02000539,192,736.1166861
E02000540,193,947.8232123
E02000541,194,262.9889348
E02000542,193,1072.755542
E02000543,193,347.5327531
E02000544,193,1024.153112
E02000545,192,416.2862374
E02000546,194,1419.333344
E02000547,191,1368.486463
E02000548,191,808.2881265
E02000549,190,733.5543136
E02000550,190,612.3523508
E02000551,189,157.4468927
E02000552,190,1573.021984
E02000553,189,1398.699395
E02000554,148,794.2666991
E02000555,208,452.0942869
E02000556,207,706.5683552
E02000557,208,232.221714
E02000558,207,640.7819801
E02000559,138,411.5262768
E02000560,207,208.9670956
E02000561,209,726.2312257
E02000562,205,902.4076746
E02000563,209,129.6036727
E02000564,205,706.7226758
E02000565,204,375.4937286
E02000566,205,63.29165169
E02000567,204,437.8632457
E02000568,206,641.6478761
E02000569,202,551.195526
E02000570,203,312.7820762
E02000571,202,251.5703994
E02000572,201,92.47020818
E02000573,202,599.513171
E02000574,201,613.5179122
E02000575,200,141.7722681
E02000576,72,578.0045739
E02000577,349,371.593303
E02000578,349,825.4827305
E02000579,214,821.0735139
E02000580,214,186.7476699
E02000581,214,652.8135107
E02000582,213,250.1453307
E02000583,214,689.1582485
E02000584,212,529.5795079
E02000585,212,1024.633114
E02000586,212,552.4814513
E02000587,212,446.9822676
E02000588,365,580.090276
E02000589,211,584.0967451
E02000590,365,355.3781483
E02000591,143,434.6060356
E02000592,359,564.4471972
E02000593,211,306.3131528
E02000594,210,444.4321493
E02000595,210,434.5966653
E02000596,211,460.1433455
E02000597,211,1047.326722
E02000598,222,343.2383288
E02000599,222,2383.554177
E02000600,222,1252.149726
E02000601,221,918.0505906
E02000602,221,446.2468512
E02000603,220,1465.597475
E02000604,220,677.437776
E02000605,220,583.7279684
E02000606,221,693.272017
E02000607,219,911.1744041
E02000608,219,757.3545074
E02000609,218,929.5043307
E02000610,219,582.3037721
E02000611,217,887.3162052
E02000612,218,485.7997879
E02000613,219,1284.224866
E02000614,217,511.0407319
E02000615,216,382.0058145
E02000616,216,972.4171547
E02000617,216,2319.439914
E02000619,360,523.0639579
E02000620,229,476.0872983
E02000621,228,342.5657549
E02000622,295,626.0988
E02000623,228,310.9750107
E02000624,227,768.746769
E02000625,228,931.7082466
E02000626,227,77.68517876
E02000627,226,928.9396599
E02000628,225,669.0915446
E02000629,226,528.0145466
E02000630,226,912.27253
E02000631,224,390.0862299
E02000632,226,493.6010776
E02000633,225,207.1121895
E02000634,226,363.2441601
E02000635,225,788.7253066
E02000636,226,976.8506584
E02000637,225,972.415376
E02000638,225,1428.654512
E02000639,330,1473.677028
E02000640,330,833.164456
E02000641,231,1628.067384
E02000642,231,1185.261393
E02000643,223,938.4087514
E02000644,231,887.9722544
E02000645,231,233.0633115
E02000646,223,442.2876301
E02000647,231,919.507821
E02000648,231,701.4589286
E02000649,223,576.0052097
E02000650,86,783.7153942
E02000651,223,1330.615749
E02000652,85,1722.846205
E02000653,244,749.9719877
E02000654,244,648.8154503
E02000655,242,938.2939481
E02000657,358,257.6923103
E02000658,242,786.4127656
E02000659,241,976.7991244
E02000660,358,868.4848931
E02000661,122,334.0609322
E02000662,239,1062.178734
E02000663,241,894.5065895
E02000664,241,146.7856553
E02000665,240,205.5010056
E02000666,239,497.4115367
E02000667,239,217.0955437
E02000668,240,802.3109992
E02000669,238,779.0742197
E02000670,237,531.9219719
E02000671,239,1049.045389
E02000672,237,441.56147
E02000673,234,1027.332755
E02000674,238,142.8704092
E02000675,235,714.8005373
E02000676,234,984.2485418
E02000677,237,780.6011035
E02000678,236,930.1522823
E02000679,234,604.1086072
E02000680,234,446.1816854
E02000681,232,1086.637967
E02000682,236,1269.584453
E02000683,235,770.4671628
E02000685,234,939.6867079
E02000686,232,1250.951702
E02000687,232,690.9992332
E02000689,329,1256.39269
E02000690,252,1865.760236
E02000691,252,614.3809196
E02000692,252,562.7001741
E02000693,251,192.692878
