MSOA11CD,sum,count_sdep,calculation,sdep_sum the dep rate,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000410,2617,19,0.726022163,0.726022163,9,1,2
E02000411,3953,82,2.074373893,2.074373893,7,2,3
E02000412,2871,49,1.706722396,1.706722396,9,2,4
E02000413,2961,30,1.013171226,1.013171226,9,1,11
E02000414,2721,42,1.543550165,1.543550165,5,2,4
E02000415,2836,33,1.163610719,1.163610719,7,4,9
E02000416,3919,42,1.071701965,1.071701965,7,2,4
E02000417,2870,22,0.766550523,0.766550523,10,2,4
E02000418,2207,8,0.362483009,0.362483009,8,2,4
E02000419,3650,42,1.150684932,1.150684932,8,4,9
E02000420,3437,44,1.280186209,1.280186209,7,4,8
E02000421,3140,59,1.878980892,1.878980892,5,3,6
E02000422,2888,43,1.488919668,1.488919668,7,5,10
E02000423,2674,35,1.308900524,1.308900524,8,5,10
E02000424,2986,23,0.770261219,0.770261219,11,4,10
E02000425,2162,20,0.92506938,0.92506938,6,5,12
E02000426,2745,19,0.692167577,0.692167577,10,3,30
E02000427,2871,17,0.592128178,0.592128178,13,7,15
E02000428,2920,46,1.575342466,1.575342466,9,6,14
E02000429,3202,9,0.281074329,0.281074329,9,3,7
E02000430,3247,14,0.431167231,0.431167231,11,4,10
E02000431,2844,13,0.457102672,0.457102672,6,2,5
E02000432,2799,15,0.535905681,0.535905681,11,5,12
E02000433,3539,29,0.81944052,0.81944052,2,0,0
E02000434,3638,21,0.577240242,0.577240242,4,0,0
E02000435,2810,27,0.960854093,0.960854093,3,0,0
E02000436,2044,7,0.342465753,0.342465753,4,0,0
E02000437,3091,28,0.90585571,0.90585571,4,0,0
E02000438,3044,30,0.985545335,0.985545335,4,0,0
E02000439,2947,23,0.7804547,0.7804547,6,0,0
E02000440,3054,16,0.523903078,0.523903078,3,0,0
E02000441,2793,25,0.89509488,0.89509488,4,0,0
E02000442,2665,11,0.412757974,0.412757974,6,0,0
E02000443,3548,43,1.211950395,1.211950395,4,0,0
E02000444,2670,22,0.823970037,0.823970037,5,0,0
E02000445,3820,45,1.178010471,1.178010471,5,0,0
E02000447,2741,15,0.547245531,0.547245531,4,0,0
E02000448,2761,20,0.724375226,0.724375226,4,0,0
E02000449,2527,17,0.672734468,0.672734468,4,1,3
E02000451,2328,4,0.171821306,0.171821306,5,0,0
E02000452,3453,26,0.752968433,0.752968433,4,0,0
E02000453,3047,17,0.557925829,0.557925829,4,0,0
E02000454,2523,10,0.396353547,0.396353547,6,0,0
E02000455,4760,26,0.546218487,0.546218487,5,0,0
E02000456,2717,14,0.515274199,0.515274199,5,0,0
E02000457,2563,11,0.429184549,0.429184549,5,0,0
E02000459,3418,23,0.672908133,0.672908133,5,1,1
E02000460,2417,33,1.36532892,1.36532892,7,1,1
E02000461,2560,9,0.3515625,0.3515625,9,3,10
E02000462,2289,13,0.567933595,0.567933595,4,1,1
E02000463,2835,36,1.26984127,1.26984127,5,1,1
E02000464,2873,41,1.427079708,1.427079708,2,0,0
E02000465,3493,56,1.603206413,1.603206413,2,0,0
E02000466,3291,65,1.975083561,1.975083561,2,1,1
E02000467,4288,102,2.378731343,2.378731343,3,0,0
E02000468,3163,29,0.916851091,0.916851091,2,1,1
E02000469,2697,41,1.520207638,1.520207638,4,0,0
E02000470,4130,25,0.605326877,0.605326877,3,0,0
E02000471,2945,11,0.373514431,0.373514431,4,1,1
E02000472,3529,31,0.878435818,0.878435818,4,1,1
E02000473,4023,37,0.919711658,0.919711658,5,0,0
E02000474,3536,38,1.074660633,1.074660633,5,2,5
E02000475,3960,29,0.732323232,0.732323232,6,1,1
E02000476,4200,65,1.547619048,1.547619048,4,1,1
E02000477,3712,24,0.646551724,0.646551724,4,0,0
E02000478,2152,6,0.278810409,0.278810409,4,0,0
E02000479,3789,50,1.319609396,1.319609396,4,0,0
E02000480,5010,88,1.756487026,1.756487026,6,1,4
E02000481,3243,20,0.61671292,0.61671292,2,0,0
E02000482,2577,2,0.077609624,0.077609624,3,0,0
E02000483,3478,34,0.977573318,0.977573318,4,0,0
E02000484,3251,16,0.49215626,0.49215626,4,0,0
E02000485,3454,32,0.926462073,0.926462073,3,0,0
E02000486,2995,17,0.567612688,0.567612688,3,0,0
E02000487,2944,4,0.135869565,0.135869565,3,0,0
E02000488,3012,12,0.398406375,0.398406375,4,1,1
E02000489,3261,43,1.318613922,1.318613922,5,1,1
E02000490,3227,39,1.208552835,1.208552835,3,1,1
E02000491,3933,70,1.779811848,1.779811848,3,1,1
E02000492,2620,18,0.687022901,0.687022901,5,2,2
E02000493,2499,37,1.480592237,1.480592237,2,1,1
E02000494,3215,12,0.373250389,0.373250389,4,0,0
E02000495,4306,32,0.743149094,0.743149094,5,0,0
E02000496,3178,45,1.415984896,1.415984896,4,0,0
E02000497,3693,33,0.893582453,0.893582453,6,0,0
E02000498,2635,12,0.45540797,0.45540797,6,0,0
E02000499,3013,10,0.331895121,0.331895121,6,0,0
E02000500,3310,14,0.422960725,0.422960725,6,0,0
E02000501,3273,27,0.824931256,0.824931256,5,0,0
E02000502,3531,19,0.538091192,0.538091192,7,1,1
E02000503,3253,15,0.461112819,0.461112819,6,0,0
E02000504,2922,8,0.273785079,0.273785079,3,1,1
E02000506,2900,9,0.310344828,0.310344828,5,3,4
E02000507,2778,18,0.647948164,0.647948164,6,3,4
E02000508,4337,36,0.830066866,0.830066866,4,4,6
E02000509,3402,37,1.087595532,1.087595532,3,3,5
