MSOA11CD,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000402,8,2.0,4.0
E02000403,8,1.0,2.0
E02000404,8,2.0,4.0
E02000405,12,2.0,4.0
E02000406,7,2.0,4.0
E02000407,6,1.0,2.0
E02000408,6,1.0,2.0
E02000409,8,3.0,7.0
E02000410,9,1.0,2.0
E02000411,7,2.0,3.0
E02000412,9,2.0,4.0
E02000413,9,1.0,11.0
E02000414,5,2.0,4.0
E02000415,7,4.0,9.0
E02000416,7,2.0,4.0
E02000417,10,2.0,4.0
E02000418,8,2.0,4.0
E02000419,8,4.0,9.0
E02000420,7,4.0,8.0
E02000421,5,3.0,6.0
E02000422,7,5.0,10.0
E02000423,8,5.0,10.0
E02000424,11,4.0,10.0
E02000425,6,5.0,12.0
E02000426,10,3.0,30.0
E02000427,13,7.0,15.0
E02000428,9,6.0,14.0
E02000429,9,3.0,7.0
E02000430,11,4.0,10.0
E02000431,6,2.0,5.0
E02000432,11,5.0,12.0
E02000433,2,0.0,0.0
E02000434,4,0.0,0.0
E02000435,3,0.0,0.0
E02000436,4,0.0,0.0
E02000437,4,0.0,0.0
E02000438,4,0.0,0.0
E02000439,6,0.0,0.0
E02000440,3,0.0,0.0
E02000441,4,0.0,0.0
E02000442,6,0.0,0.0
E02000443,4,0.0,0.0
E02000444,5,0.0,0.0
E02000445,5,0.0,0.0
E02000447,4,0.0,0.0
E02000448,4,0.0,0.0
E02000449,4,1.0,3.0
E02000451,5,0.0,0.0
E02000452,4,0.0,0.0
E02000453,4,0.0,0.0
E02000454,6,0.0,0.0
E02000455,5,0.0,0.0
E02000456,5,0.0,0.0
E02000457,5,0.0,0.0
E02000459,5,1.0,1.0
E02000460,7,1.0,1.0
E02000461,9,3.0,10.0
E02000462,4,1.0,1.0
E02000463,5,1.0,1.0
E02000464,2,0.0,0.0
E02000465,2,0.0,0.0
E02000466,2,1.0,1.0
E02000467,3,0.0,0.0
E02000468,2,1.0,1.0
E02000469,4,0.0,0.0
E02000470,3,0.0,0.0
E02000471,4,1.0,1.0
E02000472,4,1.0,1.0
E02000473,5,0.0,0.0
E02000474,5,2.0,5.0
E02000475,6,1.0,1.0
E02000476,4,1.0,1.0
E02000477,4,0.0,0.0
E02000478,4,0.0,0.0
E02000479,4,0.0,0.0
E02000480,6,1.0,4.0
E02000481,2,0.0,0.0
E02000482,3,0.0,0.0
E02000483,4,0.0,0.0
E02000484,4,0.0,0.0
E02000485,3,0.0,0.0
E02000486,3,0.0,0.0
E02000487,3,0.0,0.0
E02000488,4,1.0,1.0
E02000489,5,1.0,1.0
E02000490,3,1.0,1.0
E02000491,3,1.0,1.0
E02000492,5,2.0,2.0
E02000493,2,1.0,1.0
E02000494,4,0.0,0.0
E02000495,5,0.0,0.0
E02000496,4,0.0,0.0
E02000497,6,0.0,0.0
E02000498,6,0.0,0.0
E02000499,6,0.0,0.0
E02000500,6,0.0,0.0
E02000501,5,0.0,0.0
E02000502,7,1.0,1.0
E02000503,6,0.0,0.0
E02000504,3,1.0,1.0
E02000506,5,3.0,4.0
E02000507,6,3.0,4.0
E02000508,4,4.0,6.0
E02000509,3,3.0,5.0
E02000510,6,4.0,6.0
E02000511,5,2.0,2.0
E02000512,4,3.0,4.0
E02000513,6,1.0,1.0
E02000514,5,1.0,1.0
E02000515,4,3.0,5.0
E02000516,7,0.0,0.0
E02000517,8,4.0,5.0
E02000518,6,4.0,5.0
E02000519,9,2.0,2.0
E02000520,9,3.0,4.0
E02000521,4,2.0,3.0
E02000522,2,1.0,2.0
E02000523,3,1.0,1.0
E02000524,6,2.0,3.0
E02000525,5,1.0,1.0
E02000526,6,2.0,2.0
E02000528,8,2.0,2.0
E02000529,7,1.0,1.0
E02000530,7,1.0,1.0
E02000531,9,2.0,3.0
E02000532,7,2.0,2.0
E02000533,5,1.0,1.0
E02000534,10,2.0,2.0
E02000535,6,1.0,1.0
E02000536,7,1.0,1.0
E02000537,7,2.0,2.0
E02000538,5,2.0,2.0
E02000539,8,3.0,4.0
E02000540,5,2.0,2.0
E02000541,4,1.0,1.0
E02000542,6,1.0,1.0
E02000543,7,2.0,2.0
E02000544,6,2.0,2.0
E02000545,8,3.0,4.0
E02000546,7,3.0,3.0
E02000547,5,2.0,2.0
E02000548,2,1.0,1.0
E02000549,6,2.0,2.0
E02000550,3,2.0,2.0
E02000551,6,2.0,2.0
E02000552,3,2.0,2.0
E02000553,5,2.0,2.0
E02000554,12,3.0,8.0
E02000555,11,2.0,5.0
E02000556,13,4.0,10.0
E02000557,12,4.0,23.0
E02000558,13,4.0,10.0
E02000559,15,7.0,18.0
E02000560,16,5.0,14.0
E02000561,15,5.0,27.0
E02000562,13,6.0,16.0
E02000563,15,3.0,8.0
E02000564,17,5.0,14.0
E02000565,11,7.0,21.0
E02000566,16,6.0,19.0
E02000567,13,5.0,14.0
E02000568,19,5.0,20.0
E02000569,17,7.0,25.0
E02000570,17,6.0,22.0
E02000571,13,6.0,34.0
E02000572,18,7.0,87.0
E02000573,22,10.0,96.0
E02000574,20,9.0,91.0
E02000575,21,11.0,96.0
E02000576,20,12.0,119.0
E02000577,13,4.0,10.0
E02000578,9,4.0,10.0
E02000579,11,5.0,11.0
E02000580,12,5.0,12.0
E02000581,12,6.0,13.0
E02000582,12,6.0,15.0
