name,url
Blackheath Library,http://www.better.org.uk/areas/greenwich/venues/blackheath-library
West Greenwich Library,http://www.better.org.uk/areas/greenwich/venues/west-greenwich-library
Charlton Library,http://www.better.org.uk/areas/greenwich/venues/charlton-house-library
Greenwich Centre Library,http://www.better.org.uk/areas/greenwich/venues/greenwich-centre-library
Plumstead Library,https://www.better.org.uk/library/london/greenwich/plumstead-library
Woolwich Library,http://www.better.org.uk/areas/greenwich/venues/woolwich-library
Abbey Wood Library,http://www.better.org.uk/venues/abbey-wood-library
Thamesmere Library,http://www.better.org.uk/areas/greenwich/venues/thamesmere-library
Slade Centre Library ,https://www.better.org.uk/library/london/greenwich/slade-centre-library
Shoreditch Library,https://hackney.gov.uk/shoreditch-library
Hackney Central Library,https://hackney.gov.uk/hackney-central-library/
Dalston CLR James Library,http://www.hackney.gov.uk/dalston-library
Homerton Library,https://hackney.gov.uk/homerton-library
Stoke Newington Library,http://www.hackney.gov.uk/stoke-newington-library
Clapton Library,http://www.hackney.gov.uk/clapton-library
N4 Library,https://www.islington.gov.uk/libraries-arts-and-heritage/libraries/your-local-libraries/n4-library
Woodberry Down Library,https://hackney.gov.uk/woodberry-down-library
Stamford Hill Library,https://hackney.gov.uk/stamford-hill-library
Hurlingham and Chelsea School and Community Library ,https://www.thehurlinghamacademy.org.uk/library
Fulham,https://www.lbhf.gov.uk/libraries/find-your-library/fulham-library
Avonmore Library and Neighbourhood Centre,https://www.lbhf.gov.uk/libraries/find-your-library/avonmore-library-and-neighbourhood-centre
Hammersmith,https://www.lbhf.gov.uk/libraries/find-your-library/hammersmith-library
Askew Road,https://www.lbhf.gov.uk/libraries/find-your-library/askew-road-library
Shepherds Bush Library ,https://www.lbhf.gov.uk/libraries/find-your-library/shepherds-bush-library
Stroud Green and Harringay Library,http://www.haringey.gov.uk/stroud-green-and-harringay-library
Hornsey Library,http://www.haringey.gov.uk/hornsey-library
St Ann's Library,http://www.haringey.gov.uk/st-anns-library
Marcus Garvey Library,http://www.haringey.gov.uk/marcus-garvey-library
Muswell Hill Library,http://www.haringey.gov.uk/muswell-hill-library
Wood Green Central Library and Customer Services,http://www.haringey.gov.uk/wood-green-central-library
Alexandra Park Library,http://www.haringey.gov.uk/alexandra-park-library
Coombes Croft Library,https://devonshirehill.com/wp-content/uploads/2024/02/Whats-On-in-Haringey-Libraries-February-2024.pdf
Highgate Library ,https://new.haringey.gov.uk/libraries/libraries-haringey/highgate-library
North Harrow Community Library,https://northharrowlibrary.org
Roxeth,https://libraries.harrow.gov.uk/digital-content/libraries/roxeth-library
Pinner,https://libraries.harrow.gov.uk/digital-content/libraries/pinner-library
Kenton,https://libraries.harrow.gov.uk/digital-content/libraries/kenton-library
